user_id,item_name,rating
76561197970982479,Killing Floor,3
js41637,Barbie™ Dreamhouse Party™,3
evcentric,Risk of Rain,5
doctr,The Wolf Among Us,5
maplemage,Dark Souls: Prepare to Die Edition,3
Wackky,LEGO® MARVEL Super Heroes,1
76561198079601835,Counter-Strike: Global Offensive,3
MeaTCompany,Counter-Strike: Global Offensive,3
76561198089393905,The Elder Scrolls V: Skyrim,1
76561198156664158,Rocket League,5
WeiEDKrSat,Garry's Mod,3
thequeenpanda,Magicka,3
death-hunter,Killing Floor 2,3
DJKamBer,Unturned,3
Rainbow-Dashie,Counter-Strike: Global Offensive,5
76561198043472122,Driver San Francisco,1
MarbleShrine,Kerbal Space Program,3
PPanther,Starbound,3
Fr0stedLine,Half-Life 2,5
starkillershadow553,Sniper Elite 3,3
76561198058373434,BioShock Infinite,3
76561198048353577,Kingdom: Classic,1
76561198066046412,Elite Dangerous,1
tru_mu_,Mini Metro,3
76561198070565427,PAYDAY 2,3
SavageEeEe,DayZ,5
KanadeTheNeko,Everlasting Summer,5
Leaf_Light_Moscow,TERA,5
GoAwayZach,Unturned,5
76561198054540475,Grand Theft Auto IV,3
76561198085547365,BattleBlock Theater,5
76561198061252210,Counter-Strike: Global Offensive,3
OfficialShroomsy,The Binding of Isaac,3
VVillis,South Park™: The Stick of Truth™,3
76561198083226897,Terraria,3
76561198075277292,Counter-Strike: Global Offensive,3
76561198028895010,ArtRage 4,5
76561198170198366,HAWKEN,5
diego9031,Garry's Mod,3
76561198078738103,Unturned,3
76561198070194565,Planetary Annihilation,3
Rivtex,The Escapists,3
UTNerd24,Assetto Corsa,3
sandwiches1,Emily is Away,2
76561198138053270,PAYDAY 2,3
lucaswerg,PAYDAY 2,3
Life-Of-Blu,Fallout 4,5
CaptianAutismo,Rust,5
TheDropix101,Banished,3
kube134,Long Live The Queen,5
iamthekingofbrowntown,Reign Of Kings,1
MainScout,Left 4 Dead 2,3
yookobz,Fallout 4,5
Posiblydead,Halo: Spartan Assault,3
76561198102421718,Yet Another Zombie Defense,3
76561198056741844,Counter-Strike: Global Offensive,3
sad-commie,RimWorld,3
76561198030567998,Five Nights at Freddy's 2,3
76561198010674657,Fallout 4,2
Coldaniel,Rising Storm/Red Orchestra 2 Multiplayer,5
therealmorty,Killing Floor: Uncovered,3
Berserklejerker,Undertale,3
76561198061730629,Left 4 Dead 2,3
possessioniskey,The Elder Scrolls V: Skyrim,5
76561198060447950,XCOM: Enemy Unknown,3
whiteofwolfing,Counter-Strike: Global Offensive,3
sergarino,Sakura Clicker,3
76561198081962345,Realm of the Mad God,5
76561198073210139,Trove,1
Nozomikat,Epic Battle Fantasy 4,3
xfluttersx,Eternal Senia,3
76561198056290589,Counter-Strike: Global Offensive,5
